Apartments,2020,195
Commercial,2020,860
Condo,2020,14899
Four Family,2020,282
Industrial,2020,119
Public Utility,2020,2
Residential,2020,23089
Single Family,2020,56539
Three Family,2020,1804
Two Family,2020,3810
Vacant Land,2020,1209
Apartments,2021,181
Commercial,2021,994
Condo,2021,14879
Four Family,2021,295
Industrial,2021,133
Public Utility,2021,1
Residential,2021,22944
Single Family,2021,56923
Three Family,2021,1805
Two Family,2021,3819
Vacant Land,2021,1220
Apartments,2022,202
Commercial,2022,975
Condo,2022,14988
Four Family,2022,314
Industrial,2022,134
Public Utility,2022,2
Residential,2022,23404
Single Family,2022,56559
Three Family,2022,1779
Two Family,2022,3730
Vacant Land,2022,1263
Apartments,2023,233
Commercial,2023,967
Condo,2023,14933
Four Family,2023,295
Industrial,2023,107
Public Utility,2023,4
Residential,2023,23239
Single Family,2023,56286
Three Family,2023,1816
Two Family,2023,3714
Vacant Land,2023,1210
Apartments,2024,207
Commercial,2024,892
Condo,2024,14859
Four Family,2024,289
Industrial,2024,116
Residential,2024,23516
Single Family,2024,56841
Three Family,2024,1807
Two Family,2024,3708
Vacant Land,2024,1210
